"","w_delta11_mu","z_delta11_mu","w_delta18_mu","z_delta18_mu"
"250",1.13796,-1.48888,-0.213312,0.601902
"251",1.15089,-1.68659,-0.0724396,0.216242
"252",1.41945,-1.88461,-0.0270332,0.0774113
"253",0.99664,-1.4078,0.182632,-0.269007
"254",1.15313,-1.60147,0.107933,0.0768209
"255",1.27421,-1.52565,0.205415,-0.234689
"256",1.40519,-1.93161,0.394119,-0.368259
"257",1.33021,-2.12346,0.469282,-0.716539
"258",1.39446,-1.81435,-0.354897,0.718842
"259",1.62813,-1.98716,-0.114158,0.357216
"260",1.09734,-1.79342,-0.10417,0.459686
"261",1.14469,-1.74029,-0.0456381,0.101751
"262",1.72015,-2.43337,0.206953,-0.167323
"263",1.58737,-2.20419,0.228579,-0.257081
"264",1.85548,-2.69617,0.080658,-0.109371
"265",1.63481,-2.25884,0.141683,-0.237275
"266",0.417515,-0.87645,0.177483,-0.0941061
"267",1.30196,-2.03394,0.184119,-0.150242
"268",1.0347,-1.54244,0.144549,-0.205971
"269",1.03553,-1.73936,-0.026332,0.139815
"270",0.980888,-1.55504,0.306161,-0.401706
"271",1.17649,-1.95996,0.254106,-0.342854
"272",1.85505,-1.41201,0.0816383,0.0562194
"273",0.681021,-0.974174,0.175842,-0.0268503
"274",1.22144,-2.50192,-0.0321413,0.0322962
"275",2.40965,-2.69055,-0.0133252,0.451373
"276",1.49295,-2.0589,-0.21242,0.481049
"277",1.1739,-1.71665,-0.365516,0.640726
"278",0.954574,-1.56577,-0.168133,1.09924
"279",1.22726,-1.98897,-0.345275,1.2413
"280",0.84514,-1.99077,0.352549,-0.420515
"281",1.40873,-1.19786,0.488495,-0.913379
"282",0.557455,-1.251,0.573801,-0.703832
"283",0.522453,-0.973789,0.245384,0.106795
"284",0.82234,-1.69053,0.0626875,0.0502048
"285",0.957282,-1.43142,-0.00824431,0.251999
"286",0.677573,-1.02983,-0.0939649,0.194445
"287",1.62002,-3.04769,0.165459,-0.00752434
"288",1.83302,-2.46514,0.295851,-0.131541
"289",2.02197,-2.91204,0.180854,0.00282314
"290",1.46479,-1.52041,0.168373,-0.0943377
"291",0.691983,-0.866828,0.109139,-0.35365
"292",1.40954,-1.82604,0.00554615,-0.0544354
"293",1.70012,-1.83855,-0.0831563,0.263496
"294",1.08732,-1.94022,0.0911463,0.302671
"295",1.61588,-1.95849,-0.134109,0.193681
"296",1.49622,-2.17322,0.340759,-0.568002
"297",1.55031,-1.93279,0.375147,-0.557322
"298",1.11393,-1.56951,0.0137649,0.187226
"299",0.872809,-0.850162,0.207165,-0.207488
"300",1.93918,-3.34699,0.154459,0.0342863
"301",2.32906,-2.91387,0.155072,-0.308143
"302",3.30887,-4.53387,0.073095,-0.196492
"303",1.09402,-1.70322,0.184361,-0.178998
"304",1.11391,-1.39478,0.200812,-0.149674
"305",1.31777,-1.13658,0.0420939,0.301066
"306",1.1501,-1.11123,-0.0638026,0.278501
"307",0.977506,-1.47821,0.204292,0.217346
"308",0.775527,-1.79844,0.287159,-0.0219003
"309",1.99006,-1.98144,0.115158,0.0322896
"310",1.49681,-2.06397,-0.154513,0.374626
"311",0.86849,-0.849739,0.327226,-0.331122
"312",2.02172,-2.23772,0.409798,-0.124758
"313",1.85507,-2.15833,0.135854,-0.184845
"314",1.29918,-2.3951,0.18169,-0.036353
"315",1.40234,-2.21972,0.279899,-0.126097
"316",0.530424,-0.247387,-0.0316352,0.306165
"317",1.67225,-1.71014,0.43245,-0.0676062
"318",1.51693,-1.52414,0.237755,-0.332705
"319",1.3107,-1.35183,0.42813,-0.81571
"320",1.29628,-1.62317,0.229927,-0.295049
"321",1.13381,-1.78989,0.283026,-0.256925
"322",0.823877,-0.962645,0.293515,-0.300237
"323",1.7743,-2.78777,-0.0708312,0.28741
"324",1.85228,-2.30131,0.197084,0.221559
"325",1.58944,-2.60669,0.0571598,0.36679
"326",1.32819,-2.19534,0.301577,0.140825
"327",1.25857,-1.87646,0.0976375,0.0633921
"328",1.11024,-1.68783,-0.034638,-0.220338
"329",1.24416,-1.666,-0.0554888,-0.108059
"330",1.75466,-1.59182,0.0097857,0.169584
"331",1.32345,-1.42715,0.164524,-0.179307
"332",1.14838,-1.84599,0.153445,0.577271
"333",1.14581,-1.75095,0.19999,-0.389194
"334",0.903928,-1.28738,0.365527,0.0515543
"335",0.957443,-0.929345,0.292122,-0.392566
"336",1.24151,-1.94025,0.0449716,-0.0593718
"337",1.67324,-2.87846,0.0344599,0.0714421
"338",1.78228,-2.92449,-0.042675,0.207548
"339",2.25271,-3.41672,-0.162502,0.426895
"340",2.60141,-3.89419,-0.149569,0.152433
"341",2.07508,-2.41953,-0.230972,0.235358
"342",1.51331,-3.12514,-0.0690437,0.505061
"343",1.74878,-2.03219,0.174319,-0.325131
"344",1.96193,-2.61732,0.183434,0.223035
"345",1.81982,-2.5435,0.0185624,0.513994
"346",0.831882,-1.22184,0.308358,-0.0126286
"347",1.26938,-1.13285,0.11507,0.0404748
"348",1.41095,-1.38809,0.203723,0.0672861
"349",1.2117,-2.13904,0.0409184,-0.134492
"350",1.35114,-1.85749,-0.0307295,0.150903
"351",1.06531,-2.09284,-0.0516312,0.283879
"352",1.54178,-1.5225,-0.0421514,0.215218
"353",1.2575,-1.58198,0.265018,-0.208777
"354",1.1994,-1.28721,-0.162034,-0.038569
"355",1.13713,-1.62117,0.093958,0.262196
"356",1.18363,-1.83166,0.0799927,0.455028
"357",1.37156,-1.45638,-0.145847,0.0663171
"358",0.772296,-1.57021,-0.181756,0.0498752
"359",2.20047,-3.80851,-0.203606,0.455624
"360",1.59724,-2.0369,-0.232592,0.645937
"361",1.78553,-2.2801,-0.333269,0.758788
"362",1.35859,-1.66992,-0.110521,0.485185
"363",1.11786,-1.11526,0.268212,-0.228344
"364",0.241085,-0.376618,-0.00464075,-0.07772
"365",0.959492,-1.7093,0.29139,0.124928
"366",1.7153,-0.765985,0.213856,0.045388
"367",1.2182,-2.66289,-0.162362,0.25116
"368",2.12965,-2.00543,0.343645,-0.284978
"369",2.48102,-4.27541,0.183596,-0.257726
"370",1.89791,-3.71335,0.190618,0.108058
"371",1.97209,-4.60375,0.05201,0.056177
"372",2.33063,-2.69591,0.254825,-0.218305
"373",2.07378,-2.63692,0.232536,-0.358025
"374",2.57883,-3.76464,0.0605288,0.411445
"375",2.26683,-3.47797,-0.0472135,0.334617
"376",1.12768,-0.862693,0.285222,-0.314932
"377",1.61253,-1.16575,0.152736,-0.294801
"378",0.750081,-1.54581,-0.108762,-0.153532
"379",0.311662,-1.07427,-0.296412,0.363252
"380",1.49638,-1.97503,0.169298,-0.065919
"381",1.75337,-2.09854,0.267194,-0.224964
"382",1.32594,-2.16122,0.161434,-0.370374
"383",1.57106,-2.25684,0.467817,-0.418884
"384",1.09899,-1.96001,0.0624537,0.152175
"385",1.72803,-3.37207,-0.0701828,0.340966
"386",1.35769,-2.22658,0.159576,0.32594
"387",1.61671,-2.31921,0.118661,-0.144722
"388",1.71265,-2.01567,0.199026,0.102044
"389",1.24458,-1.85513,0.0684298,0.13341
"390",1.86935,-2.06619,0.103211,-0.0533204
"391",1.12736,-1.80013,-0.026656,0.222716
"392",0.86237,-0.162357,0.321034,-0.438191
"393",0.5548,-0.923051,0.231524,-0.197614
"394",1.34932,-2.42982,0.249927,0.0822554
"395",0.514605,-0.280049,0.261337,-0.347521
"396",1.87266,-3.07914,0.0831662,0.232384
"397",1.32275,-2.07466,0.0942412,-0.201509
"398",0.970752,-0.887522,-0.0486332,0.0171758
"399",1.52564,-2.03766,0.200443,-0.353231
"400",1.91739,-2.51065,0.194959,-0.155641
"401",2.47198,-2.52017,0.0991091,-0.0436664
"402",2.80516,-2.6934,0.218415,0.0208945
"403",1.72603,-3.41467,0.200189,0.0308959
"404",1.8654,-3.73167,0.163904,-0.123881
"405",2.05821,-2.03015,0.200041,-0.15862
"406",1.08987,-2.23183,-0.0668264,0.265056
"407",0.657316,-2.58644,0.06527,0.277241
"408",1.57626,-0.807813,0.206484,-0.461862
