"","Rat","CatLH","PR","Local.Rate_mu","Local.Rate_sigma","Bn_predictions_mu","Bn_predictions_sigma","RatLabel"
"200",8,1,54,0.370597557,0.23263859421719,0.592136953903491,0,"Rat #8"
"201",8,1,57,0.2259012464,0.0612123204485642,0.568211799226949,0,"Rat #8"
"202",8,1,60,0.373771774666667,0.0506631185104347,0.54588100926154,0,"Rat #8"
"203",8,1,63,0.266159696,NA,0.525029796245752,NA,"Rat #8"
"204",8,1,66,0.138614693,NA,0.505545352968808,NA,"Rat #8"
"205",8,11,3,0.6773177522,0.529717913998781,0.292461232034055,0,"Rat #8"
"206",8,11,6,0.461869168,0.0938269508656227,0.515105119610272,0,"Rat #8"
"207",8,11,9,0.7967731834,0.0725512188757704,0.664201323160665,0,"Rat #8"
"208",8,11,12,0.7857728904,0.0853887766358426,0.751702054440793,0,"Rat #8"
"209",8,11,15,0.7359347562,0.169082224212306,0.794108876138991,0,"Rat #8"
"210",8,11,18,0.660842464,0.332995255561337,0.806231781406732,0,"Rat #8"
"211",8,11,21,0.579719407,0.230011622858552,0.799246824904156,0,"Rat #8"
"212",8,11,24,0.9009516906,0.201188195435554,0.780867436398382,0,"Rat #8"
"213",8,11,27,0.7961719786,0.0948488557585138,0.756153694301546,0,"Rat #8"
"214",8,11,30,0.843480839,0.175482565429205,0.728320357463522,0,"Rat #8"
"215",8,11,33,0.6607180776,0.203153957426314,0.699360476556083,0,"Rat #8"
"216",8,11,36,0.727933723,0.199079977832721,0.670479330841991,0,"Rat #8"
"217",8,11,39,0.6670947358,0.257927576337533,0.642381814508409,0,"Rat #8"
"218",8,11,42,0.5752581162,0.235758932494025,0.615458147619993,0,"Rat #8"
"219",8,11,45,0.7326170542,0.201294150793505,0.589902463431477,0,"Rat #8"
"220",8,11,48,0.6979850482,0.159051436533426,0.565788124741848,0,"Rat #8"
"221",8,11,51,0.7044820676,0.286459096653518,0.54311544117367,0,"Rat #8"
"222",8,11,54,0.6355721566,0.246195739487879,0.521841846699583,0,"Rat #8"
"223",8,11,57,0.5536042334,0.24188484566237,0.501900929547109,0,"Rat #8"
"224",8,11,60,0.4222141362,0.182837706177363,0.483214364778431,0,"Rat #8"
"225",8,11,63,0.4553351768,0.140180428148066,0.465699318874904,0,"Rat #8"
"226",8,11,66,0.2843490466,0.0645006228832784,0.449272961450943,0,"Rat #8"
"227",8,11,69,0.5238985485,0.172186368409977,0.433855128986286,0,"Rat #8"
"228",8,11,72,0.499327476333333,0.143611815644075,0.41936981110753,0,"Rat #8"
"229",8,11,75,0.374191932,0.0604286666976924,0.405745891313576,0,"Rat #8"
"230",8,11,78,0.5501084125,0.167991471246634,0.392917421083859,0,"Rat #8"
"231",8,11,81,0.38959165,NA,0.380823607736857,NA,"Rat #8"
"232",8,18,3,0.8407709044,1.09826134600332,0.299888199786515,0,"Rat #8"
"233",8,18,6,0.6408408378,0.144058029389447,0.546527668756171,0,"Rat #8"
"234",8,18,9,0.783977934,0.204323797129624,0.732821324801886,0,"Rat #8"
"235",8,18,12,0.8762957414,0.499120240193805,0.86253799937835,0,"Rat #8"
"236",8,18,15,0.9491522222,0.151713051228352,0.945073179370969,0,"Rat #8"
"237",8,18,18,0.8815500468,0.24327431400711,0.991223773520667,0,"Rat #8"
"238",8,18,21,0.8790523778,0.258502268451873,1.01082144872652,0,"Rat #8"
"239",8,18,24,1.0707860776,0.176275901625706,1.01183757974301,0,"Rat #8"
"240",8,18,27,0.9721260898,0.161635132985688,1.00031532437909,0,"Rat #8"
"241",8,18,30,0.867420608,0.338900062398377,0.980649056652469,0,"Rat #8"
"242",8,18,33,0.7723132402,0.355060561799577,0.955947996413943,0,"Rat #8"
"243",8,18,36,0.799976454,0.325430908306876,0.928369665118858,0,"Rat #8"
"244",8,18,39,0.8482438428,0.216554844925799,0.899387700683944,0,"Rat #8"
"245",8,18,42,1.1229539406,0.16190487376219,0.869993186400208,0,"Rat #8"
"246",8,18,45,0.900212694,0.110692359249344,0.840840583191235,0,"Rat #8"
"247",8,18,48,0.7845083054,0.32908736042828,0.812351332994836,0,"Rat #8"
"248",8,18,51,0.9334297582,0.165513553168823,0.784786547097064,0,"Rat #8"
"249",8,18,54,0.725318485,0.299828819197376,0.758297672460993,0,"Rat #8"
"250",8,18,57,0.8153294844,0.185852510453773,0.732961686215295,0,"Rat #8"
"251",8,18,60,0.8790869494,0.0947943236073813,0.708805498687962,0,"Rat #8"
"252",8,18,63,0.8451023994,0.336704556379135,0.685822854020743,0,"Rat #8"
"253",8,18,66,0.6837897742,0.298562135499689,0.663986019441235,0,"Rat #8"
"254",8,18,69,0.854010124,0.167976513917937,0.643253852754589,0,"Rat #8"
"255",8,18,72,0.4742179454,0.145580813776519,0.6235773497873,0,"Rat #8"
"256",8,18,75,0.47574939,0.196382095671571,0.604903436035651,0,"Rat #8"
"257",8,18,78,0.59791551675,0.42019831286029,0.587177533692271,0,"Rat #8"
"258",8,18,81,0.8438005195,0.219155633382502,0.570345274157942,0,"Rat #8"
"259",8,18,84,1.0252389485,0.0549568587573027,0.554353614622717,0,"Rat #8"
"260",8,18,87,0.8983552565,0.188350269073242,0.539151539861804,0,"Rat #8"
"261",8,18,90,0.3698950235,0.0793661084763299,0.524690476441912,0,"Rat #8"
"262",8,18,93,0.482891116,NA,0.510924508815588,NA,"Rat #8"
"263",8,18,96,0.966475385,NA,0.497810460318361,NA,"Rat #8"
"264",9,1,3,1.4370657778,1.27546060991646,0.285829491227507,0,"Rat #9"
"265",9,1,6,1.087798299,1.02497198549046,0.448075949949067,0,"Rat #9"
"266",9,1,9,0.6374954592,0.174381099838368,0.505404535648397,0,"Rat #9"
"267",9,1,12,0.4432209236,0.330354960584586,0.505336380221069,0,"Rat #9"
"268",9,1,15,0.466985857,0.203669179175849,0.480650436211063,0,"Rat #9"
"269",9,1,18,0.429000016,0.274383487462232,0.447861741629094,0,"Rat #9"
"270",9,1,21,0.5225749054,0.411061361295269,0.414231007521143,0,"Rat #9"
"271",9,1,24,0.2738946936,0.0620110801986039,0.382629661718827,0,"Rat #9"
"272",9,1,27,0.2629042182,0.0615990812153192,0.353989574740368,0,"Rat #9"
"273",9,1,30,0.246676659,0.133677422853189,0.328424694566542,0,"Rat #9"
"274",9,1,33,0.3029193114,0.148213392943541,0.305728347977325,0,"Rat #9"
"275",9,1,36,0.3165542266,0.253476012116523,0.285589871115523,0,"Rat #9"
"276",9,1,39,0.5423555024,0.300244560615324,0.267686286263331,0,"Rat #9"
"277",9,1,42,0.3029468154,0.0961611499553409,0.251718450200171,0,"Rat #9"
